,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
64,65,Christian,Atsu,Chelsea,4,Midfielder,50,0.0,0.0,0,0.0,0,0,52,3,True,WAT,11,0
65,66,Joshua,King,Bournemouth,3,Midfielder,43,100.0,100.0,1124,1.5,6,4,47,3,True,WAT,11,2
66,67,Harry,Arter,Bournemouth,3,Midfielder,47,100.0,100.0,1372,2.0,0,0,48,3,True,WAT,11,0
67,68,Marc,Pugh,Bournemouth,3,Midfielder,46,100.0,100.0,933,2.3,37,10,50,3,True,WAT,11,1
68,69,Andrew,Surman,Bournemouth,3,Midfielder,43,,,2430,1.8,74,11,45,3,True,WAT,11,2
69,70,Eunan,O'Kane,Bournemouth,3,Midfielder,41,,,576,0.0,25,7,44,3,True,WAT,11,1
70,71,Shaun,MacDonald,Bournemouth,3,Midfielder,43,100.0,100.0,27,0.0,0,0,44,3,True,WAT,11,0
71,72,Junior,Stanislas,Bournemouth,3,Midfielder,42,0.0,100.0,1218,1.0,-1,1,43,3,True,WAT,11,0
72,73,Dan,Gosling,Bournemouth,3,Midfielder,44,,,1919,1.5,30,8,44,3,True,WAT,11,2
73,74,Callum,Wilson,Bournemouth,3,Forward,53,0.0,0.0,541,0.0,140,35,60,3,True,WAT,11,0
74,75,Yann,Kermorgant,Bournemouth,3,Forward,44,0.0,0.0,130,0.0,3,1,47,3,True,WAT,11,0
75,76,Tokelo,Rantie,Bournemouth,3,Forward,41,75.0,75.0,41,0.0,0,0,43,3,True,WAT,11,0
76,77,Thibaut,Courtois,Chelsea,4,Goalkeeper,52,100.0,100.0,1401,4.0,51,9,53,3,True,SOU,9,0
77,78,John,Terry,Chelsea,4,Defender,66,0.0,0.0,1717,2.8,18,-1,67,3,True,SOU,9,1
78,79,Branislav,Ivanovic,Chelsea,4,Defender,66,100.0,100.0,2070,5.0,73,8,67,3,True,SOU,9,1
79,80,César,Azpilicueta,Chelsea,4,Defender,58,,,2209,4.5,103,17,60,3,True,SOU,9,1
80,81,Gary,Cahill,Chelsea,4,Defender,61,100.0,100.0,1237,1.3,51,8,64,3,True,SOU,9,1
81,82,Kurt,Zouma,Chelsea,4,Defender,52,0.0,0.0,1918,1.8,85,18,54,3,True,SOU,9,0
82,83,Filipe Luis,Kasmirski,Chelsea,4,Defender,55,,,0,0.0,0,0,55,3,True,SOU,9,0
83,84,Nathan,Aké,Watford,18,Defender,44,100.0,100.0,1394,2.5,4,1,44,3,False,BOU,15,2
84,85,Andreas,Christensen,Chelsea,4,Defender,45,0.0,0.0,0,0.0,0,0,45,3,True,SOU,9,0
85,86,Eden,Hazard,Chelsea,4,Midfielder,108,100.0,100.0,1636,1.5,106,20,113,3,True,SOU,9,5
86,87,Cesc,Fàbregas,Chelsea,4,Midfielder,84,100.0,100.0,1987,5.0,88,14,87,3,True,SOU,9,2
87,88,Oscar,dos Santos Emboaba Junior,Chelsea,4,Midfielder,81,100.0,100.0,1379,1.5,8,2,83,3,True,SOU,9,2
88,89,Juan,Cuadrado,Chelsea,4,Midfielder,74,0.0,0.0,27,0.0,5,1,74,3,True,SOU,9,0
89,90,Willian,Borges Da Silva,Chelsea,4,Midfielder,72,100.0,100.0,2063,6.0,20,6,68,3,True,SOU,9,7
90,91,Ramires,Santos do Nascimento,Chelsea,4,Midfielder,53,0.0,0.0,609,0.0,10,3,53,3,True,SOU,9,0
91,92,Nemanja,Matic,Chelsea,4,Midfielder,46,100.0,100.0,1806,2.0,118,17,49,3,True,SOU,9,1
