listing_id,date
611132,2014-05-10
611132,2014-05-19
611132,2014-05-21
611132,2014-05-26
611132,2014-06-09
611132,2014-06-15
611132,2014-07-02
611132,2014-07-04
611132,2014-07-06
611132,2014-07-10
611132,2014-07-13
611132,2014-07-15
611132,2014-07-19
611132,2014-07-22
611132,2014-07-23
611132,2014-08-09
611132,2014-08-12
611132,2014-08-18
611132,2014-08-21
611132,2014-08-25
611132,2014-08-28
611132,2014-08-30
611132,2014-09-04
611132,2014-09-08
611132,2014-09-14
611132,2014-10-07
611132,2014-10-22
611132,2014-10-25
611132,2014-10-30
611132,2014-11-03
611132,2014-11-11
611132,2014-11-15
611132,2014-11-18
611132,2014-11-24
611132,2014-11-27
611132,2014-12-06
611132,2014-12-09
611132,2014-12-12
611132,2014-12-15
611132,2014-12-15
611132,2014-12-19
611132,2014-12-23
611132,2014-12-26
611132,2015-01-05
611132,2015-01-08
611132,2015-01-12
611132,2015-01-17
611132,2015-01-20
611132,2015-02-01
611132,2015-02-06
611132,2015-02-17
611132,2015-02-22
611132,2015-02-24
611132,2015-03-01
611132,2015-03-05
611132,2015-03-07
611132,2015-03-10
611132,2015-03-10
611132,2015-03-10
611132,2015-03-10
611132,2015-03-10
611132,2015-03-10
611132,2015-03-15
611132,2015-03-21
611132,2015-03-31
611132,2015-04-02
611132,2015-04-04
611132,2015-04-07
611132,2015-04-11
611132,2015-04-16
611132,2015-04-18
611132,2015-04-22
611132,2015-04-24
611132,2015-04-26
611132,2015-04-30
611132,2015-05-02
611132,2015-05-11
611132,2015-05-15
611132,2015-05-18
611132,2015-05-20
611132,2015-05-22
611132,2015-05-25
611132,2015-06-01
611132,2015-06-04
611132,2015-06-06
611132,2015-06-09
611132,2015-06-11
611132,2015-06-16
611132,2015-07-14
611132,2015-07-18
611132,2015-07-21
611132,2015-07-24
611132,2015-07-31
611132,2015-08-02
611132,2015-08-07
611132,2015-08-17
611132,2015-08-19
611132,2015-08-21
611132,2015-08-28
611132,2015-08-31
